file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,47,css,664aaebe,nisharonn,2025-01-08,22:29:47,-08:00,2025-01-08T22:29:47-08:00,0,0
style.css,48,css,664aaebe,nisharonn,2025-01-08,22:29:47,-08:00,2025-01-08T22:29:47-08:00,0,0
style.css,49,css,664aaebe,nisharonn,2025-01-08,22:29:47,-08:00,2025-01-08T22:29:47-08:00,0,3
style.css,50,css,664aaebe,nisharonn,2025-01-08,22:29:47,-08:00,2025-01-08T22:29:47-08:00,0,9
style.css,51,css,664aaebe,nisharonn,2025-01-08,22:29:47,-08:00,2025-01-08T22:29:47-08:00,0,0
style.css,52,css,8b80efdd,nisharonn,2025-01-09,23:13:50,-08:00,2025-01-09T23:13:50-08:00,0,0
style.css,53,css,ab34b3d8,nisharonn,2025-01-16,01:52:54,-08:00,2025-01-16T01:52:54-08:00,0,4
style.css,54,css,1afe3beb,nisharonn,2025-01-22,22:24:47,-08:00,2025-01-22T22:24:47-08:00,0,40
style.css,55,css,ab34b3d8,nisharonn,2025-01-16,01:52:54,-08:00,2025-01-16T01:52:54-08:00,0,13
style.css,56,css,ab34b3d8,nisharonn,2025-01-16,01:52:54,-08:00,2025-01-16T01:52:54-08:00,0,18
style.css,57,css,1afe3beb,nisharonn,2025-01-22,22:24:47,-08:00,2025-01-22T22:24:47-08:00,0,44
style.css,58,css,ab34b3d8,nisharonn,2025-01-16,01:52:54,-08:00,2025-01-16T01:52:54-08:00,0,0
style.css,59,css,ab34b3d8,nisharonn,2025-01-16,01:52:54,-08:00,2025-01-16T01:52:54-08:00,0,3
style.css,60,css,ab34b3d8,nisharonn,2025-01-16,01:52:54,-08:00,2025-01-16T01:52:54-08:00,0,17
style.css,61,css,ab34b3d8,nisharonn,2025-01-16,01:52:54,-08:00,2025-01-16T01:52:54-08:00,0,0
style.css,62,css,ab34b3d8,nisharonn,2025-01-16,01:52:54,-08:00,2025-01-16T01:52:54-08:00,0,3
style.css,63,css,ab34b3d8,nisharonn,2025-01-16,01:52:54,-08:00,2025-01-16T01:52:54-08:00,0,17
style.css,64,css,ab34b3d8,nisharonn,2025-01-16,01:52:54,-08:00,2025-01-16T01:52:54-08:00,0,0
style.css,65,css,ab34b3d8,nisharonn,2025-01-16,01:52:54,-08:00,2025-01-16T01:52:54-08:00,0,2
style.css,66,css,ab34b3d8,nisharonn,2025-01-16,01:52:54,-08:00,2025-01-16T01:52:54-08:00,0,7
style.css,67,css,ab34b3d8,nisharonn,2025-01-16,01:52:54,-08:00,2025-01-16T01:52:54-08:00,0,21
style.css,68,css,ab34b3d8,nisharonn,2025-01-16,01:52:54,-08:00,2025-01-16T01:52:54-08:00,0,14
style.css,69,css,ab34b3d8,nisharonn,2025-01-16,01:52:54,-08:00,2025-01-16T01:52:54-08:00,0,18
style.css,70,css,ab34b3d8,nisharonn,2025-01-16,01:52:54,-08:00,2025-01-16T01:52:54-08:00,0,14
style.css,71,css,ab34b3d8,nisharonn,2025-01-16,01:52:54,-08:00,2025-01-16T01:52:54-08:00,0,0
style.css,72,css,ab34b3d8,nisharonn,2025-01-16,01:52:54,-08:00,2025-01-16T01:52:54-08:00,0,0
style.css,73,css,ab34b3d8,nisharonn,2025-01-16,01:52:54,-08:00,2025-01-16T01:52:54-08:00,0,8
style.css,74,css,ab34b3d8,nisharonn,2025-01-16,01:52:54,-08:00,2025-01-16T01:52:54-08:00,0,46
style.css,75,css,ab34b3d8,nisharonn,2025-01-16,01:52:54,-08:00,2025-01-16T01:52:54-08:00,0,19
style.css,76,css,1afe3beb,nisharonn,2025-01-22,22:24:47,-08:00,2025-01-22T22:24:47-08:00,0,71
style.css,77,css,ab34b3d8,nisharonn,2025-01-16,01:52:54,-08:00,2025-01-16T01:52:54-08:00,0,0
style.css,78,css,8b80efdd,nisharonn,2025-01-09,23:13:50,-08:00,2025-01-09T23:13:50-08:00,0,0
style.css,79,css,664aaebe,nisharonn,2025-01-08,22:29:47,-08:00,2025-01-08T22:29:47-08:00,0,0
style.css,80,css,ab34b3d8,nisharonn,2025-01-16,01:52:54,-08:00,2025-01-16T01:52:54-08:00,0,10
style.css,81,css,1afe3beb,nisharonn,2025-01-22,22:24:47,-08:00,2025-01-22T22:24:47-08:00,0,46
style.css,82,css,ab34b3d8,nisharonn,2025-01-16,01:52:54,-08:00,2025-01-16T01:52:54-08:00,0,19
style.css,83,css,ab34b3d8,nisharonn,2025-01-16,01:52:54,-08:00,2025-01-16T01:52:54-08:00,0,0
style.css,84,css,ab34b3d8,nisharonn,2025-01-16,01:52:54,-08:00,2025-01-16T01:52:54-08:00,0,0
style.css,85,css,ab34b3d8,nisharonn,2025-01-16,01:52:54,-08:00,2025-01-16T01:52:54-08:00,0,5
style.css,86,css,ab34b3d8,nisharonn,2025-01-16,01:52:54,-08:00,2025-01-16T01:52:54-08:00,0,13
